Datetime,close,high,low,trade_count,open,volume,vwap,symbol
2025-04-30 15:07:00+00:00,389.32,389.44,389.14,646,389.14,23031,389.304802,MSFT
2025-04-30 15:08:00+00:00,389.3488,389.377,389.17,499,389.335,15656,389.2758,MSFT
2025-04-30 15:09:00+00:00,389.57,389.77,389.305,640,389.305,27102,389.552906,MSFT
2025-04-30 15:10:00+00:00,389.51,389.656,389.31,896,389.56,27806,389.500402,MSFT
2025-04-30 15:11:00+00:00,389.47,389.82,389.37,658,389.48,26348,389.639906,MSFT
2025-04-30 15:12:00+00:00,389.99,390.08,389.3925,982,389.4,49658,389.843922,MSFT
2025-04-30 15:13:00+00:00,390.13,390.15,389.76,745,389.97,36768,389.956281,MSFT
2025-04-30 15:14:00+00:00,389.77,390.125,389.7,587,390.1025,27154,389.849753,MSFT
2025-04-30 15:15:00+00:00,389.83,389.9,389.63,605,389.76,28031,389.778645,MSFT
2025-04-30 15:16:00+00:00,389.98,390.025,389.76,454,389.76,15977,389.920821,MSFT
2025-04-30 15:17:00+00:00,390.1083,390.1319,389.98,601,389.985,23336,390.04804,MSFT
2025-04-30 15:18:00+00:00,390.19,390.2,389.99,663,390.08,81990,390.126946,MSFT
2025-04-30 15:19:00+00:00,389.95,390.195,389.9,502,390.17,19070,390.071073,MSFT
2025-04-30 15:20:00+00:00,390.2,390.26,389.855,763,389.94,28459,390.039726,MSFT
2025-04-30 15:21:00+00:00,390.5,390.68,390.09,1112,390.185,50334,390.349686,MSFT
2025-04-30 15:22:00+00:00,390.555,390.58,390.45,448,390.52,14070,390.514491,MSFT
2025-04-30 15:23:00+00:00,390.63,390.77,390.5001,693,390.555,49398,390.602703,MSFT
2025-04-30 15:24:00+00:00,390.0,390.6,389.96,762,390.59,32722,390.40054,MSFT
2025-04-30 15:25:00+00:00,389.815,390.005,389.73,867,390.005,30716,389.844161,MSFT
2025-04-30 15:26:00+00:00,389.84,389.95,389.775,591,389.775,26274,389.857576,MSFT
2025-04-30 15:27:00+00:00,390.01,390.04,389.81,474,389.87,17532,389.907101,MSFT
2025-04-30 15:28:00+00:00,390.55,390.56,389.96,733,390.06,38242,390.2831,MSFT
2025-04-30 15:29:00+00:00,390.44,390.625,390.3,793,390.53,40429,390.507467,MSFT
2025-04-30 15:30:00+00:00,390.515,390.58,390.31,615,390.44,26725,390.401249,MSFT
2025-04-30 15:31:00+00:00,390.47,390.6,390.225,514,390.5698,20944,390.396517,MSFT
2025-04-30 15:32:00+00:00,390.56,390.63,390.43,447,390.53,14432,390.519526,MSFT
2025-04-30 15:33:00+00:00,390.33,390.555,390.22,513,390.54,20843,390.347929,MSFT
2025-04-30 15:34:00+00:00,390.247,390.37,390.05,691,390.32,42222,390.209001,MSFT
2025-04-30 15:35:00+00:00,390.2877,390.38,389.961,710,390.3282,18927,390.125863,MSFT
2025-04-30 15:36:00+00:00,390.12,390.43,390.01,509,390.28,17981,390.260767,MSFT
2025-04-30 15:37:00+00:00,390.175,390.26,390.06,445,390.1164,19258,390.191026,MSFT
2025-04-30 15:38:00+00:00,390.18,390.2258,390.0,633,390.11,21138,390.087188,MSFT
2025-04-30 15:39:00+00:00,390.23,390.3,390.1,388,390.2,13725,390.229052,MSFT
2025-04-30 15:40:00+00:00,390.02,390.32,390.02,598,390.23,27775,390.194707,MSFT
2025-04-30 15:41:00+00:00,390.1,390.34,389.9,973,389.99,26528,390.110009,MSFT
2025-04-30 15:42:00+00:00,390.01,390.16,390.0,500,390.1421,19293,390.097591,MSFT
2025-04-30 15:43:00+00:00,390.35,390.36,389.98,519,390.01,22436,390.162917,MSFT
2025-04-30 15:44:00+00:00,390.69,390.805,390.26,1819,390.315,76131,390.536612,MSFT
2025-04-30 15:45:00+00:00,390.85,390.85,390.48,509,390.675,17951,390.68418,MSFT
2025-04-30 15:46:00+00:00,390.61,390.9,390.43,534,390.8916,20062,390.655847,MSFT
2025-04-30 15:47:00+00:00,390.4201,390.7,390.35,609,390.635,56343,390.435413,MSFT
2025-04-30 15:48:00+00:00,390.53,390.64,390.32,513,390.5,24196,390.464852,MSFT
2025-04-30 15:49:00+00:00,390.69,390.71,390.5,340,390.515,11594,390.595657,MSFT
2025-04-30 15:50:00+00:00,390.7885,390.8435,390.6308,480,390.69,17871,390.736082,MSFT
2025-04-30 15:51:00+00:00,390.5399,390.9499,390.44,673,390.758,35554,390.690349,MSFT
2025-04-30 15:52:00+00:00,390.52,390.8384,390.51,423,390.54,14383,390.680216,MSFT
2025-04-30 15:53:00+00:00,390.35,390.51,390.21,597,390.51,24258,390.341102,MSFT
2025-04-30 15:54:00+00:00,390.73,390.76,390.31,438,390.36,14869,390.563332,MSFT
2025-04-30 15:55:00+00:00,390.76,390.83,390.57,526,390.73,23892,390.733172,MSFT
2025-04-30 15:56:00+00:00,390.77,391.04,390.71,704,390.765,34469,390.895949,MSFT
2025-04-30 15:57:00+00:00,390.1025,390.83,390.04,719,390.755,32414,390.477337,MSFT
